"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"11000","0","10","50","0","2021","A","",50988,803849,90583600813,5125776954,130822771,2157,112148,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1866,4.4,-257,0.0,3654763386,4.7,134994931,2.7,13377710,11.4,98,4.8,5073,4.7
"11000","1","10","51","0","2021","A","",371,198925,25029498039,0,0,2420,125824,"",1.49,13.67,11.62,0.00,0.00,0.85,0.85,"",13,3.6,1580,0.8,806862817,3.3,0,0.0,0,0.0,60,2.5,3081,2.5
"11000","1","101","52","0","2021","A","",3,2893,342868747,0,0,2279,118534,"",5.90,10.62,8.58,0.00,0.00,0.81,0.81,"",0,0.0,-20,-0.7,11936417,3.6,0,0.0,0,0.0,94,4.3,4929,4.3
"11000","1","1013","53","0","2021","A","",3,2893,342868747,0,0,2279,118534,"",14.74,11.41,9.14,0.00,0.00,0.80,0.80,"",0,0.0,-20,-0.7,11936417,3.6,0,0.0,0,0.0,94,4.3,4929,4.3
"11000","1","102","52","0","2021","A","",368,196032,24686629292,0,0,2422,125932,"",1.48,13.72,11.68,0.00,0.00,0.85,0.85,"",13,3.7,1600,0.8,794926400,3.3,0,0.0,0,0.0,59,2.5,3053,2.5
"11000","1","1021","53","0","2021","A","",58,4604,429634969,0,0,1794,93309,"",0.47,1.36,1.14,0.00,0.00,0.84,0.84,"",2,3.6,18,0.4,23373105,5.8,0,0.0,0,0.0,90,5.3,4723,5.3
"11000","1","1022","53","0","2021","A","",3,3342,369618955,0,0,2127,110595,"",5.46,101.06,78.13,0.00,0.00,0.77,0.77,"",1,50.0,-21,-0.6,7808917,2.2,0,0.0,0,0.0,58,2.8,3009,2.8
"11000","1","1023","53","0","2021","A","",5,2864,489717022,0,0,3288,170991,"",1.60,45.84,37.27,0.00,0.00,0.81,0.81,"",0,0.0,62,2.2,18599114,3.9,0,0.0,0,0.0,54,1.7,2830,1.7
"11000","1","1024","53","0","2021","A","",8,4227,431746442,0,0,1964,102130,"",1.35,12.05,7.90,0.00,0.00,0.66,0.66,"",2,33.3,-41,-1.0,3747485,0.9,0,0.0,0,0.0,35,1.8,1845,1.8
"11000","1","1025","53","0","2021","A","",13,3583,378643287,0,0,2032,105673,"",2.29,1.65,1.18,0.00,0.00,0.71,0.71,"",2,18.2,195,5.8,17333357,4.8,0,0.0,0,0.0,-19,-0.9,-971,-0.9
"11000","1","1026","53","0","2021","A","",16,6012,518294117,0,0,1658,86217,"",2.59,26.59,25.58,0.00,0.00,0.96,0.96,"",6,60.0,-48,-0.8,16912252,3.4,0,0.0,0,0.0,67,4.2,3482,4.2
"11000","1","1027","53","0","2021","A","",3,23,1308023,0,0,1086,56461,"",4.67,0.95,0.56,0.00,0.00,0.58,0.58,"",-1,-25.0,-15,-39.5,-2111058,-61.7,0,0.0,0,0.0,-648,-37.4,-33713,-37.4
"11000","1","1028","53","0","2021","A","",263,171376,22067666477,0,0,2476,128767,"",2.55,21.36,16.68,0.00,0.00,0.78,0.78,"",1,0.4,1448,0.9,709263228,3.3,0,0.0,0,0.0,59,2.4,3076,2.4
