"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"15999","5","999999","78","0","2021","A","",3054,2561,205008336,119929121,3700702,1539,80050,"",43.12,608.25,518.52,346.42,251.38,0.85,0.85,"",849,38.5,1042,68.6,90086233,78.4,48744414,68.5,1867949,101.9,84,5.8,4402,5.8
"15999","5","99999","77","0","2021","A","",3054,2561,205008336,119929121,3700702,1539,80050,"",43.12,608.25,518.52,346.42,251.38,0.85,0.85,"",849,38.5,1042,68.6,90086233,78.4,48744414,68.5,1867949,101.9,84,5.8,4402,5.8
"15999","5","9999","76","0","2021","A","",3054,2561,205008336,119929121,3700702,1539,80050,"",43.12,608.25,518.52,346.42,251.38,0.85,0.85,"",849,38.5,1042,68.6,90086233,78.4,48744414,68.5,1867949,101.9,84,5.8,4402,5.8
"15999","5","999","75","0","2021","A","",3054,2561,205008336,119929121,3700702,1539,80050,"",43.12,608.25,518.52,346.42,251.38,0.85,0.85,"",849,38.5,1042,68.6,90086233,78.4,48744414,68.5,1867949,101.9,84,5.8,4402,5.8
"15999","5","99","74","0","2021","A","",3054,2561,205008336,119929121,3700702,1539,80050,"",43.12,608.25,518.52,346.42,251.38,0.85,0.85,"",849,38.5,1042,68.6,90086233,78.4,48744414,68.5,1867949,101.9,84,5.8,4402,5.8
"15999","5","814110","78","0","2021","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","81411","77","0","2021","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","8141","76","0","2021","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","814","75","0","2021","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","813410","78","0","2021","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","81341","77","0","2021","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","8134","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","813319","78","0","2021","A","N",3,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","813311","78","0","2021","A","N",1,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","81331","77","0","2021","A","N",3,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0
"15999","5","8133","76","0","2021","A","N",3,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0
