"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"23000","0","10","50","0","2021","A","",65611,684417,37248702219,6500085010,136825775,1051,54651,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3816,7.0,25840,4.4,2989156540,9.8,482749512,8.0,27004569,24.6,52,5.2,2699,5.2
"23001","0","10","70","0","2021","A","",3317,47983,2421029392,528043812,10342562,970,50456,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",114,3.6,555,1.2,127935260,5.6,28132165,5.6,1764216,20.6,40,4.3,2107,4.4
"23003","0","10","70","0","2021","A","",2318,25367,1142001636,235958200,5367048,866,45018,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",43,1.9,118,0.5,50077476,4.6,5540011,2.4,793332,17.3,34,4.1,1772,4.1
"23005","0","10","70","0","2021","A","",15769,181471,11542998173,2069996370,41324239,1223,63608,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1070,7.3,6476,3.7,990855821,9.4,132012107,6.8,7655087,22.7,63,5.4,3308,5.5
"23007","0","10","70","0","2021","A","",1033,10248,426782938,97527346,2402969,801,41647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",54,5.5,609,6.3,35499755,9.1,3607419,3.8,602416,33.5,20,2.6,1053,2.6
"23009","0","10","70","0","2021","A","",2785,22025,1033946034,232675037,6189480,903,46945,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",118,4.4,1425,6.9,112258138,12.2,27816323,13.6,1621695,35.5,43,5.0,2203,4.9
"23011","0","10","70","0","2021","A","",4019,59494,3084000051,514659503,10298622,997,51837,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",92,2.3,1097,1.9,208632853,7.3,25904388,5.3,1673892,19.4,50,5.3,2599,5.3
"23013","0","10","70","0","2021","A","",2138,16771,799072259,178371486,3821090,916,47647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",82,4.0,831,5.2,76207068,10.5,13347412,8.1,722338,23.3,44,5.0,2297,5.1
"23015","0","10","70","0","2021","A","",1657,11013,487928499,114986125,2497834,852,44306,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",54,3.4,809,7.9,58450329,13.6,11735254,11.4,587580,30.8,43,5.3,2217,5.3
"23017","0","10","70","0","2021","A","",1671,16640,726649263,169213016,3724054,840,43668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",80,5.0,947,6.0,53173298,7.9,11609703,7.4,719518,23.9,15,1.8,753,1.8
"23019","0","10","70","0","2021","A","",4859,68445,3408036164,630600022,12946838,958,49792,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",180,3.8,1924,2.9,210435263,6.6,27068868,4.5,1920712,17.4,34,3.7,1723,3.6
"23021","0","10","70","0","2021","A","",571,5737,243625137,62495502,1312425,817,42463,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,4.6,459,8.7,30582705,14.4,6143669,10.9,288855,28.2,41,5.3,2096,5.2
"23023","0","10","70","0","2021","A","",1217,16654,903589759,207977495,3271387,1043,54255,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,4.0,1522,10.1,118100713,15.0,18969210,10.0,541042,19.8,45,4.5,2344,4.5
"23025","0","10","70","0","2021","A","",1447,15782,736142525,170619622,3706564,897,46645,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,2.6,683,4.5,56947518,8.4,11196317,7.0,651049,21.3,32,3.7,1663,3.7
"23027","0","10","70","0","2021","A","",1315,11229,529431186,121209710,2623990,907,47148,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",60,4.8,461,4.3,35021615,7.1,6763876,5.9,417036,18.9,24,2.7,1235,2.7
"23029","0","10","70","0","2021","A","",1100,9810,425959992,99859293,2490637,835,43419,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,2.8,92,0.9,16421060,4.0,3720682,3.9,315217,14.5,25,3.1,1276,3.0
"23031","0","10","70","0","2021","A","",7699,73705,3948596265,763737351,16414744,1030,53573,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",522,7.3,4262,6.1,356469369,9.9,72654397,10.5,3568838,27.8,35,3.5,1846,3.6
"23999","0","10","70","0","2021","A","",5203,17735,1483354095,302155120,8091292,1608,83638,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1205,30.1,3569,25.2,452088299,43.8,76527711,33.9,3161746,64.1,208,14.9,10839,14.9
