"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"23000","0","10","50","0","2021","A","",65611,684417,37248702219,6500085010,136825775,1051,54651,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3816,7.0,25840,4.4,2989156540,9.8,482749512,8.0,27004569,24.6,52,5.2,2699,5.2
"23000","1","10","51","0","2021","A","",676,16428,1347737622,0,0,1578,82038,"",2.07,1.34,1.53,0.00,0.00,1.14,1.14,"",-1,-0.1,-504,-3.0,37839504,2.9,0,0.0,0,0.0,90,6.0,4677,6.0
"23000","1","101","52","0","2021","A","",1,6492,559195186,0,0,1656,86135,"",1.50,28.36,34.15,0.00,0.00,1.20,1.20,"",0,0.0,-58,-0.9,8622144,1.6,0,0.0,0,0.0,39,2.4,2074,2.5
"23000","1","1013","53","0","2021","A","",1,6492,559195186,0,0,1656,86135,"",3.75,30.45,36.39,0.00,0.00,1.19,1.20,"",0,0.0,-58,-0.9,8622144,1.6,0,0.0,0,0.0,39,2.4,2074,2.5
"23000","1","102","52","0","2021","A","",675,9936,788542436,0,0,1526,79361,"",2.07,0.83,0.91,0.00,0.00,1.10,1.10,"",-1,-0.1,-447,-4.3,29217360,3.8,0,0.0,0,0.0,120,8.5,6227,8.5
"23000","1","1021","53","0","2021","A","",425,3364,210218639,0,0,1202,62486,"",2.64,1.18,1.37,0.00,0.00,1.16,1.16,"",-5,-1.2,-60,-1.8,7504639,3.7,0,0.0,0,0.0,63,5.5,3284,5.5
"23000","1","1023","53","0","2021","A","",9,54,4662455,0,0,1668,86743,"",2.20,1.03,0.87,0.00,0.00,0.85,0.85,"",1,12.5,3,5.9,383412,9.0,0,0.0,0,0.0,44,2.7,2288,2.7
"23000","1","1024","53","0","2021","A","",11,338,31674884,0,0,1800,93597,"",1.42,1.15,1.41,0.00,0.00,1.23,1.23,"",1,10.0,6,1.8,986056,3.2,0,0.0,0,0.0,21,1.2,1091,1.2
"23000","1","1025","53","0","2021","A","",6,1533,144081014,0,0,1807,93966,"",0.81,0.84,1.10,0.00,0.00,1.30,1.30,"",0,0.0,93,6.5,13242260,10.1,0,0.0,0,0.0,59,3.4,3085,3.4
"23000","1","1026","53","0","2021","A","",5,180,10549182,0,0,1130,58743,"",0.62,0.95,1.27,0.00,0.00,1.35,1.35,"",1,25.0,28,18.4,1571231,17.5,0,0.0,0,0.0,-3,-0.3,-161,-0.3
"23000","1","1028","53","0","2021","A","",220,4467,387356262,0,0,1668,86720,"",1.63,0.66,0.71,0.00,0.00,1.08,1.08,"",1,0.5,-517,-10.4,5529762,1.4,0,0.0,0,0.0,195,13.2,10111,13.2
"23000","1","31-33","54","0","2021","A","",1,6492,559195186,0,0,1656,86135,"",3.75,30.45,36.39,0.00,0.00,1.19,1.20,"",0,0.0,-58,-0.9,8622144,1.6,0,0.0,0,0.0,39,2.4,2074,2.5
"23000","1","336","55","0","2021","A","",1,6492,559195186,0,0,1656,86135,"",12.51,36.13,43.53,0.00,0.00,1.20,1.21,"",0,0.0,-58,-0.9,8622144,1.6,0,0.0,0,0.0,39,2.4,2074,2.5
"23000","1","3366","56","0","2021","A","",1,6492,559195186,0,0,1656,86135,"",13.41,38.79,46.25,0.00,0.00,1.19,1.19,"",0,0.0,-58,-0.9,8622144,1.6,0,0.0,0,0.0,39,2.4,2074,2.5
"23000","1","33661","57","0","2021","A","",1,6492,559195186,0,0,1656,86135,"",13.41,38.79,46.25,0.00,0.00,1.19,1.19,"",0,0.0,-58,-0.9,8622144,1.6,0,0.0,0,0.0,39,2.4,2074,2.5
"23000","1","336611","58","0","2021","A","",1,6492,559195186,0,0,1656,86135,"",13.41,38.79,46.25,0.00,0.00,1.19,1.19,"",0,0.0,-58,-0.9,8622144,1.6,0,0.0,0,0.0,39,2.4,2074,2.5
"23000","1","44-45","54","0","2021","A","",5,45,1654166,0,0,708,36827,"",1.38,0.25,0.34,0.00,0.00,1.34,1.34,"",0,0.0,-6,-11.8,-214812,-11.5,0,0.0,0,0.0,4,0.6,240,0.7
"23000","1","445","55","0","2021","A","",1,31,1258709,0,0,783,40713,"",0.94,0.70,0.78,0.00,0.00,1.12,1.12,"",0,0.0,-2,-6.1,-93936,-6.9,0,0.0,0,0.0,-3,-0.4,-173,-0.4
"23000","1","4451","56","0","2021","A","",1,31,1258709,0,0,783,40713,"",0.94,0.70,0.78,0.00,0.00,1.12,1.12,"",0,0.0,-2,-6.1,-93936,-6.9,0,0.0,0,0.0,-3,-0.4,-173,-0.4
"23000","1","44511","57","0","2021","A","",1,31,1258709,0,0,783,40713,"",1.08,0.74,0.81,0.00,0.00,1.10,1.10,"",0,0.0,-2,-6.1,-93936,-6.9,0,0.0,0,0.0,-3,-0.4,-173,-0.4
"23000","1","445110","58","0","2021","A","",1,31,1258709,0,0,783,40713,"",1.08,0.74,0.81,0.00,0.00,1.10,1.10,"",0,0.0,-2,-6.1,-93936,-6.9,0,0.0,0,0.0,-3,-0.4,-173,-0.4
