"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"23000","5","5112","56","0","2021","A","",285,477,73857224,7990174,212503,2840,147705,"",0.91,0.22,0.20,0.17,0.24,0.89,0.89,"",79,42.2,166,47.0,30031344,64.5,2709134,51.3,84685,66.3,303,11.9,15783,12.0
"23001","5","5112","76","0","2021","A","",6,10,5077719,165738,4949,9765,507772,"",0.36,0.05,0.18,0.04,0.08,3.31,3.31,"",-1,-14.3,3,42.9,1088089,27.3,61027,58.3,2286,85.8,-818,-7.7,-42522,-7.7
"23003","5","5112","76","0","2021","A","N",3,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"23005","5","5112","76","0","2021","A","",105,249,32670542,3964423,114328,2525,131295,"",1.33,0.36,0.24,0.26,0.44,0.68,0.68,"",23,28.0,63,33.9,10601653,48.0,1055170,36.3,37133,48.1,248,10.9,12910,10.9
"23007","5","5112","76","0","2021","A","",3,3,453316,60000,1767,2615,135995,"",0.58,0.08,0.09,0.08,0.12,1.07,1.07,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"23009","5","5112","76","0","2021","A","",6,5,394281,52490,1066,1422,73928,"",0.43,0.06,0.03,0.03,0.03,0.52,0.52,"",3,100.0,1,25.0,134196,51.6,-1110,-2.1,184,20.9,-7,-0.5,-382,-0.5
"23011","5","5112","76","0","2021","A","",12,47,4200627,645915,10622,1716,89217,"",0.59,0.20,0.12,0.17,0.16,0.57,0.57,"",3,33.3,3,6.8,426949,11.3,48726,8.2,1425,15.5,73,4.4,3775,4.4
"23013","5","5112","76","0","2021","A","",7,10,1060127,144200,4126,1973,102593,"",0.65,0.15,0.11,0.11,0.17,0.71,0.71,"",2,40.0,3,42.9,483885,84.0,48200,50.2,1637,65.8,409,26.2,21241,26.1
"23015","5","5112","76","0","2021","A","N",4,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"23017","5","5112","76","0","2021","A","N",7,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,"N",3,75.0,0,0,0,0,0,0,0,0,0,0,0,0
"23019","5","5112","76","0","2021","A","",9,8,825268,129980,3298,1943,101053,"",0.37,0.03,0.02,0.03,0.04,0.67,0.67,"",3,50.0,3,60.0,-70834,-7.9,57980,80.5,1474,80.8,-1562,-44.6,-81205,-44.6
"23023","5","5112","76","0","2021","A","N",5,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,"N",-3,-37.5,0,0,0,0,0,0,0,0,0,0,0,0
"23027","5","5112","76","0","2021","A","",5,7,426211,76079,1854,1144,59471,"",0.76,0.16,0.07,0.09,0.11,0.41,0.41,"",1,25.0,2,40.0,184423,76.3,12172,19.0,665,55.9,229,25.0,11906,25.0
"23031","5","5112","76","0","2021","A","",40,47,11462214,754429,20090,4715,245181,"",1.03,0.17,0.25,0.13,0.19,1.50,1.50,"",10,33.3,16,51.6,5932303,107.3,281306,59.5,8594,74.8,1294,37.8,67275,37.8
"23999","5","5112","76","0","2021","A","",55,112,17796115,1686700,41282,3067,159487,"",2.10,1.64,1.02,0.76,0.80,0.63,0.63,"",33,150.0,68,154.5,10399790,140.6,1062300,170.1,28536,223.9,-135,-4.2,-7034,-4.2
