"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39000","0","10","50","0","2021","A","",296875,5738681,342209473258,46676629648,1140254116,1122,58350,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9849,3.2,123124,2.4,19876936770,6.9,2454393913,5.6,206282029,22.1,48,4.5,2478,4.4
"39001","0","10","70","0","2021","A","",674,6057,268987500,52605480,1423463,854,44412,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",33,5.1,251,4.3,22437096,9.1,2640252,5.3,256682,22.0,37,4.5,1946,4.6
"39003","0","10","70","0","2021","A","",2529,48379,2458966589,430629737,11328123,977,50828,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.2,618,1.3,121862930,5.2,12395386,3.0,2304427,25.5,36,3.8,1895,3.9
"39005","0","10","70","0","2021","A","",1181,18772,828692410,153069423,3135090,849,44145,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.0,317,1.7,51079657,6.6,5522110,3.7,377511,13.7,39,4.8,2010,4.8
"39007","0","10","70","0","2021","A","",2156,28948,1227164341,241922570,5909365,815,42392,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",29,1.4,375,1.3,67001234,5.8,9970356,4.3,904459,18.1,34,4.4,1789,4.4
"39009","0","10","70","0","2021","A","",1304,20156,924735800,120206377,2576768,882,45878,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,3.6,419,2.1,36236059,4.1,11089385,10.2,646466,33.5,16,1.8,861,1.9
"39011","0","10","70","0","2021","A","",1081,20771,1021278217,177293639,3472364,946,49169,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,1.4,398,2.0,57608995,6.0,2968912,1.7,763751,28.2,36,4.0,1867,3.9
"39013","0","10","70","0","2021","A","",1645,20375,865468342,179783034,4882097,817,42478,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.5,633,3.2,48408807,5.9,6584003,3.8,774575,18.9,21,2.6,1091,2.6
"39015","0","10","70","0","2021","A","",691,7686,297479376,57291913,1521621,744,38703,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.8,174,2.3,21102246,7.6,3348923,6.2,385021,33.9,36,5.1,1911,5.2
"39017","0","10","70","0","2021","A","",8319,150387,8458000889,1446873355,34592065,1082,56242,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",221,2.7,1420,1.0,327742537,4.0,56375609,4.1,6117053,21.5,32,3.0,1665,3.1
