"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39000","5","5112","56","0","2021","A","",1659,8920,966912178,111302769,2860965,2225,115697,"",1.17,0.46,0.30,0.32,0.40,0.65,0.65,"",524,39.2,1109,13.5,217111495,25.2,22051279,24.7,898903,45.8,208,10.3,10803,10.3
"39001","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39003","5","5112","76","0","2021","A","",3,5,375412,48553,1210,1468,76355,"",0.24,0.03,0.01,0.02,0.02,0.49,0.49,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"39005","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39007","5","5112","76","0","2021","A","N",4,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,"N",3,300.0,0,0,0,0,0,0,0,0,0,0,0,0
"39009","5","5112","76","0","2021","A","N",9,0,0,0,0,0,0,"N",1.37,0,0,0,0,0,0,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0
"39011","5","5112","76","0","2021","A","N",3,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"39013","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39015","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39017","5","5112","76","0","2021","A","",32,95,12793130,1190834,31585,2599,135139,"",0.77,0.16,0.13,0.11,0.14,0.79,0.79,"",3,10.3,24,33.8,4539691,55.0,106735,9.8,7396,30.6,377,17.0,19572,16.9
"39019","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39021","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39023","5","5112","76","0","2021","A","",7,12,1338920,148925,3544,2074,107832,"",0.55,0.07,0.05,0.05,0.05,0.75,0.75,"",3,75.0,4,50.0,471902,54.4,67925,83.9,1455,69.7,-32,-1.5,-1686,-1.5
"39025","5","5112","76","0","2021","A","",29,916,112465921,9601640,174409,2361,122779,"",1.33,4.06,3.16,2.31,2.06,0.78,0.78,"",6,26.1,-25,-2.7,3527191,3.2,366352,4.0,43104,32.8,134,6.0,6979,6.0
"39027","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39029","5","5112","76","0","2021","A","N",10,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,"N",3,42.9,0,0,0,0,0,0,0,0,0,0,0,0
"39035","5","5112","76","0","2021","A","",250,1603,178977718,19563218,474297,2147,111634,"",1.32,0.60,0.33,0.45,0.51,0.55,0.55,"",81,47.9,239,17.5,35869233,25.1,4620986,30.9,183774,63.3,130,6.4,6748,6.4
"39037","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39039","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39041","5","5112","76","0","2021","A","",70,172,24094009,2033541,53948,2690,139878,"",2.23,0.50,0.36,0.31,0.44,0.71,0.71,"",17,32.1,38,28.4,6686845,38.4,531065,35.3,15556,40.5,192,7.7,9974,7.7
"39043","5","5112","76","0","2021","A","",5,6,948816,72000,2574,2959,153862,"",0.50,0.04,0.05,0.03,0.05,1.12,1.12,"",1,25.0,2,50.0,454776,92.1,27000,60.0,828,47.4,481,19.4,24982,19.4
"39045","5","5112","76","0","2021","A","N",13,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,"N",1,8.3,0,0,0,0,0,0,0,0,0,0,0,0
"39047","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39049","5","5112","76","0","2021","A","",308,1408,204876493,17486762,474325,2799,145552,"",1.68,0.49,0.36,0.36,0.50,0.73,0.73,"",86,38.7,143,11.3,61199460,42.6,3325254,23.5,88658,23.0,614,28.1,31936,28.1
"39051","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.18,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39055","5","5112","76","0","2021","A","",13,22,3018108,299481,7718,2638,137187,"",0.85,0.16,0.15,0.13,0.13,0.92,0.92,"",4,44.4,9,69.2,1320647,77.8,171679,134.3,3466,81.5,27,1.0,1390,1.0
"39057","5","5112","76","0","2021","A","",25,145,13502945,2290486,143764,1789,93017,"",1.29,0.50,0.24,0.61,2.02,0.48,0.48,"",9,56.2,45,45.0,5415333,67.0,745082,48.2,42617,42.1,232,14.9,12073,14.9
"39061","5","5112","76","0","2021","A","",177,936,129256394,11364239,321494,2654,138033,"",1.38,0.49,0.32,0.34,0.46,0.64,0.65,"",49,38.3,89,10.5,20479109,18.8,2519027,28.5,123070,62.0,183,7.4,9556,7.4
"39063","5","5112","76","0","2021","A","N",5,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39065","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39067","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39069","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39075","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39077","5","5112","76","0","2021","A","N",4,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"39079","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39081","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"39083","5","5112","76","0","2021","A","N",7,0,0,0,0,0,0,"N",1.13,0,0,0,0,0,0,"N",4,133.3,0,0,0,0,0,0,0,0,0,0,0,0
"39085","5","5112","76","0","2021","A","",22,30,2944653,438423,12895,1862,96811,"",0.67,0.08,0.05,0.07,0.10,0.61,0.61,"",8,57.1,10,50.0,1138762,63.1,206225,88.8,7511,139.5,133,7.7,6891,7.7
"39087","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39089","5","5112","76","0","2021","A","",12,15,1501554,178724,3979,1958,101800,"",0.65,0.05,0.04,0.03,0.03,0.71,0.71,"",5,71.4,4,36.4,537739,55.8,45141,33.8,2046,105.8,273,16.2,14180,16.2
"39091","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39093","5","5112","76","0","2021","A","",24,44,4181478,544137,16473,1835,95395,"",0.74,0.12,0.08,0.09,0.12,0.64,0.64,"",3,14.3,-20,-31.2,-1829256,-30.4,-183152,-25.2,-6336,-27.8,41,2.3,2085,2.2
"39095","5","5112","76","0","2021","A","",32,78,6964626,950025,35540,1712,89005,"",0.60,0.10,0.06,0.08,0.12,0.53,0.53,"",6,23.1,20,34.5,1458388,26.5,277214,41.2,8235,30.2,-103,-5.7,-5388,-5.7
"39097","5","5112","76","0","2021","A","N",4,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39099","5","5112","76","0","2021","A","",15,34,2851357,396673,10294,1637,85115,"",0.50,0.10,0.06,0.07,0.07,0.62,0.62,"",5,50.0,-1,-2.9,-59807,-2.1,18998,5.0,496,5.1,18,1.1,937,1.1
"39101","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39103","5","5112","76","0","2021","A","",25,40,3609856,458072,12370,1721,89501,"",1.04,0.18,0.10,0.11,0.15,0.56,0.56,"",5,25.0,9,29.0,1376323,61.6,86538,23.3,5427,78.2,350,25.5,18218,25.6
"39107","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39109","5","5112","76","0","2021","A","N",8,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,"N",2,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"39113","5","5112","76","0","2021","A","",51,1597,95084377,17387268,278740,1145,59539,"",0.81,1.72,0.61,1.18,0.96,0.36,0.36,"",15,41.7,-27,-1.7,-5401927,-5.4,651363,3.9,87546,45.8,-45,-3.8,-2327,-3.8
"39117","5","5112","76","0","2021","A","N",4,0,0,0,0,0,0,"N",1.52,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"39123","5","5112","76","0","2021","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39129","5","5112","76","0","2021","A","N",3,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"39133","5","5112","76","0","2021","A","",20,84,7809830,996630,20697,1793,93252,"",1.14,0.42,0.25,0.31,0.31,0.59,0.59,"N",7,53.8,0,0,0,0,0,0,0,0,0,0,0,0
"39135","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39137","5","5112","76","0","2021","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39139","5","5112","76","0","2021","A","N",6,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"39143","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39149","5","5112","76","0","2021","A","N",4,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"39151","5","5112","76","0","2021","A","",24,59,5420197,726307,16334,1782,92653,"",0.54,0.10,0.06,0.07,0.08,0.63,0.63,"",5,26.3,3,5.4,-13333,-0.2,131774,22.2,2685,19.7,-87,-4.7,-4519,-4.7
"39153","5","5112","76","0","2021","A","",77,353,34147636,3905476,134618,1859,96667,"",1.02,0.36,0.20,0.24,0.38,0.56,0.56,"",20,35.1,27,8.3,4095949,13.6,454665,13.2,39758,41.9,84,4.7,4342,4.7
"39155","5","5112","76","0","2021","A","",8,7,880595,99612,3014,2478,128868,"",0.37,0.03,0.03,0.02,0.03,0.94,0.95,"",4,100.0,4,133.3,350521,66.1,64382,182.7,2063,216.9,-1229,-33.2,-63886,-33.1
"39157","5","5112","76","0","2021","A","",6,6,375187,62536,3346,1237,64318,"",0.51,0.04,0.02,0.03,0.08,0.47,0.47,"N",2,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"39159","5","5112","76","0","2021","A","N",6,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39163","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",1.85,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39165","5","5112","76","0","2021","A","",47,220,24754221,2599670,71457,2167,112690,"",1.63,0.59,0.35,0.38,0.50,0.59,0.59,"",17,56.7,42,23.6,6622259,36.5,527140,25.4,2401,3.5,209,10.7,10873,10.7
"39167","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.12,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"39169","5","5112","76","0","2021","A","N",8,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,"N",5,166.7,0,0,0,0,0,0,0,0,0,0,0,0
"39171","5","5112","76","0","2021","A","N",3,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39173","5","5112","76","0","2021","A","",15,32,1843739,347760,8456,1114,57919,"",0.94,0.12,0.05,0.08,0.07,0.37,0.37,"",4,36.4,15,88.2,910482,97.6,151997,77.6,4111,94.6,43,4.0,2202,4.0
"39175","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"39999","5","5112","76","0","2021","A","",432,1155,177633900,15020052,445064,2958,153840,"",4.27,2.20,1.19,1.15,1.22,0.54,0.54,"",126,41.2,380,49.0,58336819,48.9,6369171,73.6,196532,79.1,-2,-0.1,-75,0.0
