"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49000","0","10","50","0","2021","A","",136166,1394920,96901428507,41505584141,209580909,1112,57837,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8486,7.5,78997,5.2,9003872047,10.9,4704708770,12.8,58258110,38.5,56,5.3,2947,5.4
"49001","0","10","70","0","2021","A","",261,2842,107812848,59344448,246046,730,37940,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,6.1,99,3.6,5405718,5.3,5456296,10.1,48745,24.7,12,1.7,604,1.6
"49003","0","10","70","0","2021","A","",1566,22611,1144061230,608391180,2984841,973,50598,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",85,5.7,1388,6.5,235978316,26.0,106320659,21.2,990084,49.6,150,18.2,7811,18.3
"49005","0","10","70","0","2021","A","",4139,61737,2899058943,1388050695,5387184,903,46958,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",191,4.8,3441,5.9,430940973,17.5,186763493,15.5,1790619,49.8,89,10.9,4620,10.9
"49007","0","10","70","0","2021","A","",634,8456,375207816,178863296,941106,853,44374,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.6,-34,-0.4,-6123415,-1.6,-5580873,-3.0,3512,0.4,-11,-1.3,-541,-1.2
"49009","0","10","70","0","2021","A","",48,419,15264158,6095528,66618,700,36408,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-2.0,16,4.0,101775,0.7,212878,3.6,2471,3.9,-23,-3.2,-1192,-3.2
"49011","0","10","70","0","2021","A","",9732,135416,7051228727,3142154465,13830534,1001,52071,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",381,4.1,2383,1.8,225322091,3.3,152458370,5.1,3313048,31.5,14,1.4,761,1.5
"49013","0","10","70","0","2021","A","",812,7768,370047717,174868757,1165460,916,47639,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.5,184,2.4,8913358,2.5,12516070,7.7,-112246,-8.8,0,0.0,24,0.1
"49015","0","10","70","0","2021","A","",270,3370,157227887,76612435,796204,897,46651,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,3.8,104,3.2,5466671,3.6,5106821,7.1,119839,17.7,3,0.3,182,0.4
"49017","0","10","70","0","2021","A","",276,2449,112405987,43131574,956573,883,45896,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,3.8,252,11.5,29483782,35.6,9020982,26.4,319876,50.2,157,21.6,8158,21.6
