"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49000","5","5112","56","0","2021","A","",1349,13543,2348927311,693045464,3527386,2861,148756,"",2.54,2.46,2.08,2.27,2.65,0.85,0.85,"",504,48.3,1912,14.6,522622590,30.5,154745744,28.7,1555595,78.9,350,13.9,18171,13.9
"49001","5","5112","76","0","2021","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49003","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49005","5","5112","76","0","2021","A","N",18,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,"N",9,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49011","5","5112","76","0","2021","A","",57,255,28022995,10781207,57579,2116,110038,"",1.17,0.49,0.34,0.47,0.66,0.69,0.69,"",9,18.8,46,22.0,8557443,44.0,2807484,35.2,17231,42.7,325,18.1,16901,18.1
"49013","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49017","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49019","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49021","5","5112","76","0","2021","A","N",5,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,"N",2,66.7,0,0,0,0,0,0,0,0,0,0,0,0
"49023","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49025","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",1.03,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","5","5112","76","0","2021","A","N",2,0,0,0,0,0,0,"N",0.99,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49029","5","5112","76","0","2021","A","N",3,0,0,0,0,0,0,"N",1.41,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"49035","5","5112","76","0","2021","A","",1035,7013,991138521,322506595,1904901,2718,141335,"",3.68,2.46,1.73,2.08,2.74,0.70,0.70,"",351,51.3,893,14.6,213784363,27.5,59663300,22.7,773291,68.3,275,11.3,14323,11.3
"49043","5","5112","76","0","2021","A","",46,144,25289767,7918299,50111,3379,175725,"",2.74,1.36,1.39,1.33,1.54,1.02,1.02,"",13,39.4,-21,-12.7,1140298,4.7,-1445855,-15.4,2136,4.5,570,20.3,29660,20.3
"49045","5","5112","76","0","2021","A","",3,4,669118,174189,1305,3676,191177,"",0.45,0.05,0.06,0.05,0.09,1.35,1.35,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49047","5","5112","76","0","2021","A","N",1,0,0,0,0,0,0,"N",0.16,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","5","5112","76","0","2021","A","",303,7226,1159664504,336954787,1440021,3086,160478,"",3.01,6.85,6.44,6.44,6.89,0.94,0.94,"",93,44.3,980,15.7,294120922,34.0,90729355,36.8,723458,101.0,421,15.8,21893,15.8
"49051","5","5112","76","0","2021","A","",13,15,1669138,751974,5847,2140,111276,"",1.87,0.35,0.27,0.39,0.69,0.77,0.77,"",7,116.7,11,275.0,1135385,212.7,514615,216.8,4883,506.5,-426,-16.6,-22162,-16.6
"49053","5","5112","76","0","2021","A","",31,107,8547234,3624389,28400,1534,79756,"",0.85,0.36,0.23,0.28,0.54,0.62,0.62,"",13,72.2,24,28.9,2959189,53.0,1389191,62.2,17391,158.0,239,18.5,12430,18.5
"49057","5","5112","76","0","2021","A","",25,97,7325095,3570333,12131,1450,75387,"",0.72,0.22,0.11,0.18,0.14,0.50,0.50,"",6,31.6,25,34.7,2404629,48.9,1055415,42.0,6499,115.4,136,10.4,7047,10.3
