"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54000","0","10","50","0","2021","A","",55028,601516,35479669847,6588359009,168038164,971,50498,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2110,4.1,15788,2.5,1925106265,6.2,270519302,4.3,6331022,3.9,34,3.6,1757,3.6
"54001","0","10","70","0","2021","A","",320,3732,172662413,33750507,801829,890,46270,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,7.4,152,4.2,11621176,7.2,3192953,10.4,51860,6.9,25,2.9,1285,2.9
"54003","0","10","70","0","2021","A","",2199,35371,1767977099,362670986,8503083,961,49983,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",97,4.6,964,2.8,130065984,7.9,25364813,7.5,413591,5.1,46,5.0,2379,5.0
"54005","0","10","70","0","2021","A","",386,4338,203770451,44188251,1054029,903,46975,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.8,106,2.5,12816045,6.7,1105747,2.6,-63456,-5.7,35,4.0,1855,4.1
"54007","0","10","70","0","2021","A","",348,3538,137434740,32859868,782625,747,38844,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.3,-22,-0.6,4992991,3.8,947310,3.0,23796,3.1,32,4.5,1640,4.4
"54009","0","10","70","0","2021","A","",489,7201,342902344,67418191,1469348,916,47617,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,3.8,63,0.9,23779167,7.5,1651878,2.5,7668,0.5,56,6.5,2909,6.5
"54011","0","10","70","0","2021","A","",2776,49678,2423593519,461548741,10716709,938,48786,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,0.7,874,1.8,111346053,4.8,17120767,3.9,635644,6.3,27,3.0,1408,3.0
"54013","0","10","70","0","2021","A","",141,1108,54060858,12073167,347534,938,48784,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,6.0,65,6.2,6719747,14.2,827629,7.4,44212,14.6,65,7.4,3395,7.5
"54015","0","10","70","0","2021","A","",156,1328,43472327,10668024,328861,629,32729,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,6.1,60,4.7,3250002,8.1,1041704,10.8,75289,29.7,19,3.1,1004,3.2
"54017","0","10","70","0","2021","A","",120,1548,82623134,13501261,452839,1026,53368,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.7,-59,-3.7,-3277439,-3.8,790053,6.2,108133,31.4,-2,-0.2,-97,-0.2
"54019","0","10","70","0","2021","A","",1008,9845,402776631,92777615,2367949,787,40914,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,2.9,196,2.0,19170625,5.0,5381259,6.2,206489,9.6,22,2.9,1159,2.9
"54021","0","10","70","0","2021","A","",158,1767,75944288,12010193,314879,827,42983,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.6,65,3.8,3842267,5.3,252801,2.2,-4644,-1.5,12,1.5,620,1.5
"54023","0","10","70","0","2021","A","",300,3357,153871855,31286057,936637,882,45838,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.4,107,3.3,9111261,6.3,1162987,3.9,75166,8.7,26,3.0,1302,2.9
"54025","0","10","70","0","2021","A","",1172,12411,509141352,134155938,3524546,789,41024,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,2.0,431,3.6,30459000,6.4,4316077,3.3,30622,0.9,21,2.7,1067,2.7
"54027","0","10","70","0","2021","A","",453,3722,136313490,32689259,680342,704,36623,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.9,71,1.9,5240951,4.0,3741858,12.9,73058,12.0,14,2.0,725,2.0
"54029","0","10","70","0","2021","A","",660,8599,391450454,96176499,2175281,875,45523,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,2.8,109,1.3,27137809,7.4,2643860,2.8,142338,7.0,50,6.1,2610,6.1
"54031","0","10","70","0","2021","A","",359,5403,219818175,65568307,1338483,782,40684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,5.6,-107,-1.9,10194519,4.9,967776,1.5,-71214,-5.1,50,6.8,2637,6.9
"54033","0","10","70","0","2021","A","",2084,34934,1964825204,335056777,8953047,1082,56243,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.3,917,2.7,131362070,7.2,17864600,5.6,939473,11.7,45,4.3,2345,4.4
"54035","0","10","70","0","2021","A","",620,7451,360877373,83009131,2413416,931,48431,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.3,-327,-4.2,-17514897,-4.6,-6256774,-7.0,-227095,-8.6,-5,-0.5,-221,-0.5
"54037","0","10","70","0","2021","A","",1259,14888,803480170,144313895,3243967,1038,53969,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",76,6.4,672,4.7,65616564,8.9,13003671,9.9,339286,11.7,40,4.0,2065,4.0
